content,score
woiii terikat janji eps 20 kenapa kok blank sampe menit ke 36 baru bisa di tonton ???? parah banget nih Netflix gak becus.,1
jelek,1
"kenapa saya tidak bisa menonton,beberapa hari lalu masih bisa dan ini saya mau lanjut nonton filmnya hanya bisa di putar di menit terakhir saja padahal masa aktif masih 15 mei,maunya gimana ini,giliran bayar aja langsung potong saldo pas nonton gak bisa..gimana sih",1
langganan bukannya murah. diatas 50k. tapi ga bisa masuk aneh,1
Netflix ke Napa dah film gak bisa di putar,1
Series yang lagi dilihat akhir-akhir ini suka delay jam tayangnya dan kadang waktu dibuka hanya layar hitam putih tanpa suara tapi durasi seriesnya tetap berjalan. Aneh. Tolong perbaiki!!!,1
rusak ini applikasi..sudah langganan saya jangan cuman ambil uang orang lah,1
"filmnya banyak tapi pas kita mau nyari film favorit gk muncul"" malahan muncul film yg lain kan jadi binggung padahal maunya nnton film yg kita cri yah kok gitu😌",3
GK bisa masuk harus pakai uang,1
"Payah, Suck when on Huawei device Pad it cant be fail and try agin, But on HP it works fine",1
gbisa dbuka kimakkkkk,1
bagus,5
udah berhenti berlangganan tapi malah di perpanjang secara sepihak😏 ga jelas bgt. lagian kurang update juga film2nya .,1
Film dikit,1
Mantap,5
aering Gabisa login aneh,1
good movie,5
"pls netflix????ini kenapa kok film the tale of the princess kaguya, my neighbor totoro, spirited away g bisa ditonton lagi? katanya filmnya ga bisa didownload di bbrp negara. padahal filmnya bagus. kecewa sih .",1
"jatuh tempo tgl 30 April, tp udah beberapa hari ini gak bisa terus nonton filmnya. semuanya gak bisa. udah perbaharui aplikasi juga tetap gak bisa. tolong perbaiki dongggg",1
anj lh mau putar film eror mulu,1
aplikasi ga jelas udh sejam lebih guee cob login tpi gabisa udh coba bkin akun baru tetap gabisa juga,1
"Compared to other similar applications, I like this application. The movie choices are many and varied.",5
gk asik,1
"susah masuk, susah login ulang, tiba'ke log sendiri",1
BAGUSSSS BANGETT AKKKKK,5
mantap,5
good,5
udah berhenti berlangganan tapi tetep saja gopay ku kepotong dengan sendiri nya,1
bagus banget aku kasih lima bintang,5
keren,5
"Net Netflix!!! Flix Netflix!!! Adain dong Mode Tidur, biar mat sendiri ditinggal tidur",1
"neflix ini bener bener bagus film nya banyakkk, kualitas nya HD emang patut diacungi jempol netflix ini. Apalagi semua film yg kita cari semuanya adaaa, thank u netflix",5
"kecewa.. orang gak mau lanjut malah dipotong otomatis... itu namanya pencuri...!!!! kalo gw klik konfirmasi lanjut langganan boleh lu potong saldo gw.. ,ini gak gw klik, gak gw nontonin bosen filmnya yang udah pernah keputer di tv semua apaan.. !!! PENCURI...!!!",1
upload episode barunya dipercepat donk jam 6 sore gitu.... gak sabar pingin lihat kelanjutannya 😍,5
aplikasi gak jelas masa saya gak bisa login padahal pingin sekali liat film di aplikasi nya tapi gak bisa login dengan alasan pasword salah kan gak masuk akal,1
tdk bisa bayar pake mobily number kenapa dipersulit daftar,1
"tiba2 potong pembayaran, padahal uda stop berlangganan",1
"udah mana cuma masuk ke aplikasi harus langganan,giliran udah langganan video sering nggabisa di putar entah karna apa,padahal koneksi wifi ataupun paket data udah kenceng,heran juga gw ama netflix nih maunya dia gimana,dahlah cukup 1 bulan aja langganannya ngga mau gw perpanjang lg",1
"Sedih banget, login di huawei matepad 11.5 gabisa masuk, something wrong muluu.. Giliran login di hp bisa. Sebelum""nya gapernah kekgini pdhal",1
Netflix offers a huge collection of movies and series. The streaming is smooth and the original content is high quality.,5
aplikasi tercanggih filmny selalu update like banget,5
daftar aja nyusahin,1
suka,5
